invoice_id,customer_name,invoice_date,due_date,currency,invoice_amount,po_number,customer_ref
INV-1001,Acme Pvt Ltd,2025-08-01,2025-08-31,INR,10000.00,PO-777,ACME-AP-001
INV-1002,Beta Retailers,2025-08-03,2025-09-02,INR,8450.00,PO-778,BETA-AP-004
INV-1003,Gamma Industries,2025-08-05,2025-09-04,INR,12000.00,PO-779,GAM-PO-009
INV-1004,Acme Private Limited,2025-08-07,2025-09-06,INR,10000.00,PO-780,ACME-AP-002
INV-1005,Delta Co.,2025-08-10,2025-09-09,INR,15000.00,PO-781,DEL-REF-77
INV-1006,Epsilon Traders,2025-08-12,2025-09-11,INR,9999.50,PO-782,EPS-PO-10
INV-1007,Acme Pvt Ltd,2025-08-15,2025-09-14,INR,5000.00,PO-783,ACME-AP-003
INV-1008,Zeta Foods,2025-08-16,2025-09-15,USD,200.00,PO-784,ZETA-NA-1
INV-1009,Eta Labs,2025-08-20,2025-09-19,INR,8450.00,PO-785,ETA-AP-33
INV-1010,Theta Global,2025-08-21,2025-09-20,INR,1000.00,PO-786,TH-PO-1
